addr,v5,v6,v5_comment,v6_comment
2124,1322b,1322b,"SPIWrite [132]=2B, TIA & LPF Word","SPIWrite [132]=2B, TIA & LPF Word"
2125,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2126,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2127,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2128,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2129,13031,13031,"SPIWrite [130]=31, Gain Table Index","SPIWrite [130]=31, Gain Table Index"
2130,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2131,1322c,1322c,"SPIWrite [132]=2C, TIA & LPF Word","SPIWrite [132]=2C, TIA & LPF Word"
2132,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2133,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2134,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2135,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2136,13032,13032,"SPIWrite [130]=32, Gain Table Index","SPIWrite [130]=32, Gain Table Index"
2137,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2138,1322d,1322d,"SPIWrite [132]=2D, TIA & LPF Word","SPIWrite [132]=2D, TIA & LPF Word"
2139,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2140,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2141,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2142,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2143,13033,13033,"SPIWrite [130]=33, Gain Table Index","SPIWrite [130]=33, Gain Table Index"
2144,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2145,1322e,1322e,"SPIWrite [132]=2E, TIA & LPF Word","SPIWrite [132]=2E, TIA & LPF Word"
2146,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2147,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2148,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2149,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2150,13034,13034,"SPIWrite [130]=34, Gain Table Index","SPIWrite [130]=34, Gain Table Index"
2151,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2152,1322f,1322f,"SPIWrite [132]=2F, TIA & LPF Word","SPIWrite [132]=2F, TIA & LPF Word"
2153,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2154,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2155,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2156,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2157,13035,13035,"SPIWrite [130]=35, Gain Table Index","SPIWrite [130]=35, Gain Table Index"
2158,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2159,13230,13230,"SPIWrite [132]=30, TIA & LPF Word","SPIWrite [132]=30, TIA & LPF Word"
2160,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2161,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2162,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2163,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2164,13036,13036,"SPIWrite [130]=36, Gain Table Index","SPIWrite [130]=36, Gain Table Index"
2165,13144,13144,"SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=44, Ext LNA, Int LNA, & Mixer Gain Word"
2166,13231,13231,"SPIWrite [132]=31, TIA & LPF Word","SPIWrite [132]=31, TIA & LPF Word"
2167,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2168,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2169,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2170,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2171,13037,13037,"SPIWrite [130]=37, Gain Table Index","SPIWrite [130]=37, Gain Table Index"
2172,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2173,1322e,1322e,"SPIWrite [132]=2E, TIA & LPF Word","SPIWrite [132]=2E, TIA & LPF Word"
2174,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2175,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2176,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2177,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2178,13038,13038,"SPIWrite [130]=38, Gain Table Index","SPIWrite [130]=38, Gain Table Index"
2179,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2180,1322f,1322f,"SPIWrite [132]=2F, TIA & LPF Word","SPIWrite [132]=2F, TIA & LPF Word"
2181,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2182,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2183,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2184,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2185,13039,13039,"SPIWrite [130]=39, Gain Table Index","SPIWrite [130]=39, Gain Table Index"
2186,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2187,13230,13230,"SPIWrite [132]=30, TIA & LPF Word","SPIWrite [132]=30, TIA & LPF Word"
2188,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2189,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2190,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2191,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2192,1303a,1303a,"SPIWrite [130]=3A, Gain Table Index","SPIWrite [130]=3A, Gain Table Index"
2193,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2194,13231,13231,"SPIWrite [132]=31, TIA & LPF Word","SPIWrite [132]=31, TIA & LPF Word"
2195,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2196,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2197,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2198,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2199,1303b,1303b,"SPIWrite [130]=3B, Gain Table Index","SPIWrite [130]=3B, Gain Table Index"
2200,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2201,13232,13232,"SPIWrite [132]=32, TIA & LPF Word","SPIWrite [132]=32, TIA & LPF Word"
2202,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2203,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2204,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2205,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2206,1303c,1303c,"SPIWrite [130]=3C, Gain Table Index","SPIWrite [130]=3C, Gain Table Index"
2207,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2208,13233,13233,"SPIWrite [132]=33, TIA & LPF Word","SPIWrite [132]=33, TIA & LPF Word"
2209,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2210,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2211,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2212,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2213,1303d,1303d,"SPIWrite [130]=3D, Gain Table Index","SPIWrite [130]=3D, Gain Table Index"
2214,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2215,13234,13234,"SPIWrite [132]=34, TIA & LPF Word","SPIWrite [132]=34, TIA & LPF Word"
2216,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2217,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2218,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2219,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2220,1303e,1303e,"SPIWrite [130]=3E, Gain Table Index","SPIWrite [130]=3E, Gain Table Index"
2221,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2222,13235,13235,"SPIWrite [132]=35, TIA & LPF Word","SPIWrite [132]=35, TIA & LPF Word"
2223,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2224,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2225,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2226,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2227,1303f,1303f,"SPIWrite [130]=3F, Gain Table Index","SPIWrite [130]=3F, Gain Table Index"
2228,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2229,13236,13236,"SPIWrite [132]=36, TIA & LPF Word","SPIWrite [132]=36, TIA & LPF Word"
2230,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2231,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2232,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2233,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2234,13040,13040,"SPIWrite [130]=40, Gain Table Index","SPIWrite [130]=40, Gain Table Index"
2235,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2236,13237,13237,"SPIWrite [132]=37, TIA & LPF Word","SPIWrite [132]=37, TIA & LPF Word"
2237,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2238,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2239,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2240,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2241,13041,13041,"SPIWrite [130]=41, Gain Table Index","SPIWrite [130]=41, Gain Table Index"
2242,13164,13164,"SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=64, Ext LNA, Int LNA, & Mixer Gain Word"
2243,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2244,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2245,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2246,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2247,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2248,13042,13042,"SPIWrite [130]=42, Gain Table Index","SPIWrite [130]=42, Gain Table Index"
2249,13165,13165,"SPIWrite [131]=65, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=65, Ext LNA, Int LNA, & Mixer Gain Word"
2250,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2251,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2252,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2253,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2254,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2255,13043,13043,"SPIWrite [130]=43, Gain Table Index","SPIWrite [130]=43, Gain Table Index"
2256,13166,13166,"SPIWrite [131]=66, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=66, Ext LNA, Int LNA, & Mixer Gain Word"
2257,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2258,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2259,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2260,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2261,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2262,13044,13044,"SPIWrite [130]=44, Gain Table Index","SPIWrite [130]=44, Gain Table Index"
2263,13167,13167,"SPIWrite [131]=67, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=67, Ext LNA, Int LNA, & Mixer Gain Word"
2264,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2265,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2266,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2267,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2268,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2269,13045,13045,"SPIWrite [130]=45, Gain Table Index","SPIWrite [130]=45, Gain Table Index"
2270,13168,13168,"SPIWrite [131]=68, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=68, Ext LNA, Int LNA, & Mixer Gain Word"
2271,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2272,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2273,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2274,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2275,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2276,13046,13046,"SPIWrite [130]=46, Gain Table Index","SPIWrite [130]=46, Gain Table Index"
2277,13169,13169,"SPIWrite [131]=69, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=69, Ext LNA, Int LNA, & Mixer Gain Word"
2278,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2279,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2280,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2281,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2282,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2283,13047,13047,"SPIWrite [130]=47, Gain Table Index","SPIWrite [130]=47, Gain Table Index"
2284,1316a,1316a,"SPIWrite [131]=6A, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6A, Ext LNA, Int LNA, & Mixer Gain Word"
2285,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2286,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2287,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2288,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2289,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2290,13048,13048,"SPIWrite [130]=48, Gain Table Index","SPIWrite [130]=48, Gain Table Index"
2291,1316b,1316b,"SPIWrite [131]=6B, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6B, Ext LNA, Int LNA, & Mixer Gain Word"
2292,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2293,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2294,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2295,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2296,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2297,13049,13049,"SPIWrite [130]=49, Gain Table Index","SPIWrite [130]=49, Gain Table Index"
2298,1316c,1316c,"SPIWrite [131]=6C, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6C, Ext LNA, Int LNA, & Mixer Gain Word"
2299,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2300,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2301,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2302,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2303,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2304,1304a,1304a,"SPIWrite [130]=4A, Gain Table Index","SPIWrite [130]=4A, Gain Table Index"
2305,1316d,1316d,"SPIWrite [131]=6D, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6D, Ext LNA, Int LNA, & Mixer Gain Word"
2306,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2307,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2308,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2309,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2310,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2311,1304b,1304b,"SPIWrite [130]=4B, Gain Table Index","SPIWrite [130]=4B, Gain Table Index"
2312,1316e,1316e,"SPIWrite [131]=6E, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6E, Ext LNA, Int LNA, & Mixer Gain Word"
2313,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2314,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2315,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2316,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2317,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2318,1304c,1304c,"SPIWrite [130]=4C, Gain Table Index","SPIWrite [130]=4C, Gain Table Index"
2319,1316f,1316f,"SPIWrite [131]=6F, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=6F, Ext LNA, Int LNA, & Mixer Gain Word"
2320,13238,13238,"SPIWrite [132]=38, TIA & LPF Word","SPIWrite [132]=38, TIA & LPF Word"
2321,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
2322,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2323,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2324,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2325,1304d,1304d,"SPIWrite [130]=4D, Gain Table Index","SPIWrite [130]=4D, Gain Table Index"
2326,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
2327,13200,13200,"SPIWrite [132]=00, TIA & LPF Word","SPIWrite [132]=00, TIA & LPF Word"
2328,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2329,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
2330,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
2331,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
2332,1304e,1304e,"SPIWrite [130]=4E, Gain Table Index","SPIWrite [130]=4E, Gain Table Index"
2333,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
2334,13200,13200,"SPIWrite [132]=00, TIA & LPF Word","SPIWrite [132]=00, TIA & LPF Word"
2335,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
2336,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
